Field=#~Integer~#~50|Field=Comment~String~Comment~99|Field=Description~String~Description~206|Field=Designator~String~Designator~82|Field=Footprint~String~Footprint~166|Field=LibRef~String~LibRef~61|Field=Quantity~Integer~Quantity~61|Field=Digikey Number~String~Digikey Number~61|Field=Value~String~Value~59|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MEGAphone.PrjPcb|ReportField=ProjectFullPath~U:\Altium Projects\MEGAphone\MEGAphone.PrjPcb|ReportField=Title~Bill of Materials For Project [MEGAphone.PrjPcb] (PCB Document : MEGAphone.PcbDoc)|ReportField=TotalQuantity~293|ReportField=ReportTime~11:46:21 AM|ReportField=ReportDate~2/08/2019|ReportField=ReportDateTime~2/08/2019 11:46:21 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~College of Science & Engineering|ReportField=Address2~Engineering Services Room 3.22|ReportField=Address3~1284 South Rd|ReportField=Address4~SA 5042|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2/08/2019|ReportField=CurrentTime~11:42:07 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~U:\Altium Projects\MEGAphone\MEGAphone Overview.SchDoc|ReportField=DocumentName~MEGAphone Overview.SchDoc|ReportField=DocumentNumber~A4284|ReportField=DrawnBy~D Kleiss|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~23/07/2019|ReportField=Organization~Flinders University|ReportField=ProjectName~MEGAphone.PrjPcb|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Mega Phone|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=2.56:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A4 (210 x 297mm):PaperIndex=9|ReportField=DataSourceFileName~MEGAphone.PrjPcb|ReportField=DataSourceFullPath~U:\Altium Projects\MEGAphone\MEGAphone.PrjPcb|ReportField=PCBDataSourceFileName~MEGAphone.PcbDoc|ReportField=PCBDataSourceFullPath~U:\Altium Projects\MEGAphone\MEGAphone.PcbDoc
1|Battery|Multicell Battery|BT1|CONNECTOR PHOENIX 1757242|Battery|1||
2|MOUDLE-BLUETOOTH-AUDIO-RN52-I/RM(50P-26X13.5MM)|Bluetooth 3.0 class 2 surface mount audio module with PCB trace antenna|BT2|LGA50-1.0-26X13.5MM|MOUDLE-BLUETOOTH-AUDIO-RN52-I/RM(50P-26X13.5MM)|1||
3|470uF|Polarized Capacitor (Radial)|C1_M1, C1_M2|CAP Case D Tantalum|Cap Pol|2|478-11421-1-ND|470uF
4|100nF|Capacitor|C2_M1, C2_M2, C9_M1, C9_M2, C10_M1, C10_M2, C12, C13, C14, C19, C22_FA, C22_FB, C26, C27, C28, C29, C38, C40_PS1, C40_PS2, C40_PS3, C40_PS4, C40_PS5, C40_PS6, C46, C48|0603_CAP UF HD|Cap|25||100nF
5|33pF|Capacitor|C3_M1, C3_M2, C4_M1, C4_M2, C5_M1, C5_M2, C6_M1, C6_M2|0603_CAP PF HD|Cap|8||33pF
6|1uF|Capacitor|C7_M1, C7_M2, C8_M1, C8_M2, C11_M1, C11_M2, C16, C18, C35, C36|0603_CAP UF HD|Cap|10|1276-6524-1-ND|1uF
7|4.7uF|Capacitor|C15|0603_CAP UF HD|Cap|1||4.7uF
8|10uF|Capacitor|C17, C37|0603_CAP UF HD|Cap|2|490-7200-1-ND|10uF
9|1nF COG/NPO|Capacitor|C20_FA, C20_FB, C21_FA, C21_FB|0603_CAP PF HD|Cap|4|732-7771-1-ND|1nF COG/NPO
10|100uF|Capacitor|C23_FA, C23_FB|1210-CAPACITOR UF|Cap|2|587-1965-1-ND|100uF
11|150pF COG/NPO|Capacitor|C24_FA, C24_FB|0603_CAP PF HD|Cap|2||150pF COG/NPO
12|820pF COG/NPO|Capacitor|C25_FA, C25_FB|0603_CAP PF HD|Cap|2|732-7771-1-ND|820pF COG/NPO
13|33nF COG|Capacitor|C30, C31, C32, C33|0805 Reflow Cap|Cap|4|445-8162-1-ND|33nF COG
14|22uF|Capacitor|C39_PS1, C39_PS2, C39_PS3, C39_PS4, C39_PS5, C39_PS6, C41_PS1, C41_PS2, C41_PS3, C41_PS4, C41_PS5, C41_PS6, C42_PS1, C42_PS2, C42_PS3, C42_PS4, C42_PS5, C42_PS6, C47, C49, C50|0603_CAP UF HD|Cap|21|490-7611-1-ND|22uF
15|100nF|0805 (2012 Metric)|C43|CAPC0805(2012)100_N|CMP-1036-01531-1|1||39pF
16|10uF|0805 (2012 Metric)|C44|CAPC0805(2012)100_N|CMP-1036-01531-1|1||39pF
17|47mF|Polarized Capacitor (Radial)|C45|CAP SMD 10.5D 5.5H|Cap Pol|1|399-10938-1-ND|47mF
18|Connector 2-way||CON1, CON2|HDR1X2|CON2|2||
19|Smart Card Connector||CON3|Smart Card Connector|Smart Card Connector|1|609-4481-ND|
20|BAV170|Dual Common Cathode Silicon Low Leakage Diode 3-Pin SOT-23|D1_M1, D1_M2, D7|SOT-23|BAV170|3|BAV170E6327HTSA1CT-ND|
21|#NAME?|LED|D2, D3, D6_PS1, D6_PS2, D6_PS3, D6_PS4, D6_PS5, D6_PS6, D8|LED 3mm Red|LED|9||
22|MBR0540|Diode|D4|ONSC-SOD-123-2-425-04_V|DIODE_SCHOTTKY|1|MBR0540CT-ND|
23|MM3Z24VT1G|Zener Diode|D5|ONSC-SOD-323-2-477-02_V|ZENER DIODE|1|MM3Z24VT1GOSCT-ND|
24|WIFI Module|Header, 4-Pin, Dual row|ESP1|HDR2X4|Header 4X2|1||
25|10A|Fuse|F1|FUSE OMF125|Fuse|1|486-2999-ND|10A
26|PTC|Fuse|F2_FA, F2_FB|0603-RESISTOR HD|Fuse|2|490-2471-1-ND|
27|uSIM Card|Molex 104642 Series 8 Way Micro SIM, MicroSD Memory Card Connector with Solder Termination|J1_M1, J1_M2|CONNECTOR MSIM MOLEX 1046421610|104642-1610|2|WM12958CT-ND|
28|SJ-43515TS-SMT|SJ Series 3.5 mm 16 V 4 Conductor SMT Mid Mount Stereo Audio Jack|J2|SOCKET 3.5 TRRS CUI_SJ-43515TS-SMT|SJ-43515TS-SMT|1|CP-43515TSSJCT-ND|
29|D Connector 9|Receptacle Assembly, 9 Position, Right Angle|J3|DB9 Right Angle Through-Hole Male|D Connector 9|1|190-09FA-ND|
